,Unnamed: 0,usage_category,address,property_type,community_name,main_building_ratio,city,parking_space_price,transaction_date,elevator_available,building_age,number_of_land,number_of_building,number_of_parking_space,latitude,longitude,management_org_available,per_ping_calculation_method,note,price_per_ping,detailed_usage_classification,total_area_ping,property_b_l_p_type,district,total_price,total_floors,target_floor,transaction_floors,bedrooms,living_rooms,bathrooms,cor,診所_under_250_m,診所_under_500_m,診所_under_750_m
0,0,住,士林區中社路一段０１１巷００７２號四樓#士林區中社路一段１１巷７２號四樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-08,,41.0,1,1,0,25.109841388999303,121.5623636414188,1,總價/總面積,,384393.0,住家用,20.81,房地(土地+建物),A15,8000000,4.0,4.0,1.0,2.0,1.0,1.0,"(25.109841388999303, 121.5623636414188)",0.0,0.0,0.0
1,1,住,士林區後港街０２０巷００１８號四樓#士林區後港街２０巷１８號四樓,公寓(5樓含以下無電梯),,86.1,A,,2016-12-03,,38.0,2,1,0,25.08301416710221,121.5217354205053,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,299934.0,住家用,32.31,房地(土地+建物),A15,9690000,5.0,4.0,1.0,3.0,2.0,2.0,"(25.08301416710221, 121.5217354205053)",5.0,16.0,9.0
2,2,住,士林區中正路１０４巷００１弄０００２號四樓#士林區中正路１０４巷１弄２號四樓,華廈(10層含以下有電梯),,49.54,A,,2016-12-02,,18.0,1,1,1,25.096834957429344,121.52969579806587,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,189660.0,住家用,10.55,房地(土地+建物)+車位,A15,2000000,6.0,4.0,1.0,2.0,1.0,1.0,"(25.096834957429344, 121.52969579806587)",6.0,11.0,23.0
3,3,住,士林區中山北路七段１９０巷００１６之３號７樓#士林區中山北路七段１９０巷１６之３號７樓,華廈(10層含以下有電梯),海山華廈,72.92,A,,2016-12-10,,29.0,1,1,1,25.125401572552573,121.53416242019422,0,總價/總面積,"本案車位面積無法概算。
含增建或未登記建物。含增建或未登記建物。;",551888.0,住家用,61.39,房地(土地+建物)+車位,A15,33880000,7.0,7.0,1.0,4.0,2.0,2.0,"(25.125401572552573, 121.53416242019422)",3.0,3.0,7.0
4,4,住,士林區延平北路五段２８５巷００８９號四樓#士林區延平北路五段２８５巷８９號四樓,套房(1房(1廳)1衛),硯藏,51.19,A,,2016-12-06,,,1,1,0,25.0843474191753,121.50694037083063,0,總價/總面積,,522684.0,住家用,17.56,房地(土地+建物),A15,9180000,5.0,4.0,1.0,1.0,1.0,1.0,"(25.0843474191753, 121.50694037083063)",0.0,34.0,8.0
5,5,住,士林區士東路０１２３號四樓#士林區士東路１２３號四樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-12,,42.0,1,1,0,25.112459042595425,121.530645601566,1,總價/總面積,受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。;,604311.0,住家用,28.46,房地(土地+建物),A15,17200000,4.0,4.0,1.0,1.0,1.0,2.0,"(25.112459042595425, 121.530645601566)",10.0,30.0,41.0
6,6,住,士林區天母北路００４０號三樓#士林區天母北路４０號三樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-19,,46.0,1,1,0,25.12038292395425,121.52633648308456,1,總價/總面積,,510152.0,住家用,24.5,房地(土地+建物),A15,12500000,3.0,3.0,1.0,3.0,2.0,1.0,"(25.12038292395425, 121.52633648308456)",12.0,17.0,27.0
7,7,住,士林區中社路二段００４２號#士林區中社路二段４２號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-17,,41.0,1,1,0,25.10682518532789,121.56258780824412,1,總價/總面積,,400251.0,住家用,20.81,房地(土地+建物),A15,8330000,4.0,1.0,1.0,3.0,1.0,1.0,"(25.10682518532789, 121.56258780824412)",0.0,0.0,0.0
8,8,住,士林區天母北路００１３號四樓#士林區天母北路１３號四樓,華廈(10層含以下有電梯),,77.13,A,,2016-12-16,,40.0,1,1,0,25.11943450556012,121.52647124751589,0,總價/總面積,,504774.0,住家用,40.81,房地(土地+建物),A15,20600000,7.0,4.0,1.0,3.0,2.0,2.0,"(25.11943450556012, 121.52647124751589)",15.0,18.0,26.0
9,9,住,士林區後街０２１巷００３４號#士林區後街２１巷３４號,公寓(5樓含以下無電梯),,91.31,A,,2016-12-06,,38.0,1,1,0,25.098855947815903,121.52497525989293,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,553531.0,住家用,37.04,房地(土地+建物),A15,20500000,4.0,1.0,1.0,4.0,2.0,3.0,"(25.098855947815903, 121.52497525989293)",5.0,30.0,22.0
10,10,住,士林區中山北路七段２１９巷００１０之１號７樓#士林區中山北路七段２１９巷１０之１號７樓,華廈(10層含以下有電梯),,78.34,A,,2016-12-01,,32.0,1,1,1,25.127970507854585,121.53277530920832,0,總價/總面積,"內含獨立產權車位，未包含在棟數內。
本案車位面積無法概算。
含增建或未登記建物。含增建或未登記建物。;",515950.0,住家用,70.07,房地(土地+建物)+車位,A15,36150000,7.0,6.0,2.0,3.0,2.0,3.0,"(25.127970507854585, 121.53277530920832)",0.0,3.0,3.0
11,11,住,士林區至誠路二段００３７號#士林區至誠路二段３７號,公寓(5樓含以下無電梯),,44.66,A,,2016-12-01,,34.0,1,1,0,25.10133427210741,121.52875344518404,1,總價/總面積,,607841.0,住商用,57.58,房地(土地+建物),A15,35000000,5.0,1.0,1.0,,,,"(25.10133427210741, 121.52875344518404)",1.0,4.0,38.0
12,12,住,士林區大南路３８８巷０００６號４樓#士林區大南路３８８巷６號４樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-04,,46.0,1,1,0,25.0895693013585,121.51635027052036,1,總價/總面積,價格含增建含增建或未登記建物。;,407117.0,住商用,30.7,房地(土地+建物),A15,12500000,4.0,4.0,1.0,4.0,2.0,2.0,"(25.0895693013585, 121.51635027052036)",3.0,12.0,14.0
13,13,住,士林區社子街００８６號#士林區社子街８６號,華廈(10層含以下有電梯),麗池凡登,73.0,A,,2016-12-13,,8.0,2,1,0,25.086977221212656,121.50616802803484,0,總價/總面積,,494264.0,商業用,44.33,房地(土地+建物),A15,21910000,10.0,1.0,1.0,1.0,0.0,1.0,"(25.086977221212656, 121.50616802803484)",9.0,17.0,14.0
14,14,住,士林區中山北路六段４０５巷００３６號二樓#士林區中山北路六段４０５巷３６號二樓,華廈(10層含以下有電梯),,77.67,A,,2016-12-28,,32.0,1,1,0,25.115129592668627,121.52606608630636,0,總價/總面積,陽台外推本成交資訊系由不動產經紀業提供屬實含增建或未登記建物。;,591478.0,住家用,43.11,房地(土地+建物),A15,25500000,7.0,2.0,1.0,3.0,2.0,2.0,"(25.115129592668627, 121.52606608630636)",11.0,22.0,42.0
15,15,住,士林區社中街１５６巷０２４弄００２２號３樓#士林區社中街１５６巷２４弄２２號３樓,公寓(5樓含以下無電梯),,91.56,A,,2016-12-14,,34.0,1,1,0,25.091223870308745,121.5104286709462,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,289256.0,住家用,31.46,房地(土地+建物),A15,9100000,5.0,3.0,1.0,3.0,2.0,2.0,"(25.091223870308745, 121.5104286709462)",1.0,11.0,16.0
16,16,住,士林區重慶北路四段０２５３號４樓#士林區重慶北路四段２５３號４樓,華廈(10層含以下有電梯),,65.09,A,,2016-12-23,,24.0,1,1,1,25.085986820745145,121.51065478569492,0,總價/總面積,,387729.0,商業用,64.48,房地(土地+建物)+車位,A15,25000000,9.0,4.0,1.0,,,,"(25.085986820745145, 121.51065478569492)",14.0,24.0,5.0
17,17,商,士林區至善路二段０１８０號四樓#士林區至善路二段１８０號四樓,住宅大樓(11層含以上有電梯),至善天下,48.5,A,,2016-12-28,,21.0,3,1,2,25.099253005345325,121.54994185293438,0,總價/總面積,,474370.0,商業用,114.8,房地(土地+建物)+車位,A15,54460101,16.0,4.0,1.0,4.0,2.0,4.0,"(25.099253005345325, 121.54994185293438)",0.0,0.0,0.0
18,18,商,士林區天母東路０００８號三樓#士林區天母東路８號三樓,住宅大樓(11層含以上有電梯),華固天鑄,45.92,A,1220.0,2016-12-08,,,2,1,4,25.117584734166,121.53126269650949,0,(總價-車位總價)/(總面積-車位總面積),土地及建物分次登記案件。預售屋買賣，車位未個別拆價。,1399732.0,住家用,228.87,房地(土地+建物)+車位,A15,286080000,38.0,3.0,1.0,,,,"(25.117584734166, 121.53126269650949)",16.0,23.0,32.0
19,19,住,士林區永平街０２０巷０００３號３樓#士林區永平街２０巷３號３樓,公寓(5樓含以下無電梯),,89.26,A,,2016-12-03,,39.0,3,1,0,25.09017574311818,121.50540790311553,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,352093.0,住家用,28.91,房地(土地+建物),A15,10180000,4.0,3.0,1.0,3.0,2.0,1.0,"(25.09017574311818, 121.50540790311553)",2.0,13.0,11.0
20,20,商,士林區天母東路０００８號十八樓之１#士林區天母東路８號十八樓之１,住宅大樓(11層含以上有電梯),華固天鑄,42.74,A,1400.0,2016-12-19,,,2,1,4,25.117142222207736,121.53130044757488,0,(總價-車位總價)/(總面積-車位總面積),土地及建物分次登記案件。預售屋買賣，權利人有2位，車位未個別拆價。,1626179.0,住家用,179.88,房地(土地+建物)+車位,A15,256280000,38.0,18.0,1.0,,,,"(25.117142222207736, 121.53130044757488)",14.0,27.0,31.0
21,21,商,士林區中正路１８７巷００２５號四樓#士林區中正路１８７巷２５號四樓,公寓(5樓含以下無電梯),,90.53,A,,2016-12-02,,32.0,2,1,0,25.094630717895537,121.52755475105172,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,609451.0,住家用,31.18,房地(土地+建物),A15,19000000,4.0,4.0,1.0,3.0,2.0,2.0,"(25.094630717895537, 121.52755475105172)",12.0,35.0,15.0
22,22,住,士林區中山北路七段０３８巷０１２弄０００４之３號二樓#士林區中山北路七段３８巷１２弄４之３號二樓,公寓(5樓含以下無電梯),,85.45,A,,2016-12-01,,38.0,1,1,0,25.119396908458924,121.53194483318856,1,總價/總面積,,507468.0,住家用,24.83,房地(土地+建物),A15,12600000,5.0,2.0,1.0,3.0,2.0,2.0,"(25.119396908458924, 121.53194483318856)",14.0,19.0,28.0
23,23,商,士林區天母東路０００８號二十一樓#士林區天母東路８號二十一樓,住宅大樓(11層含以上有電梯),華固天鑄,45.32,A,1280.0,2016-12-08,,,2,1,4,25.117142222207736,121.53130044757488,0,(總價-車位總價)/(總面積-車位總面積),土地及建物分次登記案件。預售屋買賣，車位未個別拆價。,1718073.0,住家用,211.86,房地(土地+建物)+車位,A15,319750000,38.0,21.0,1.0,,,,"(25.117142222207736, 121.53130044757488)",14.0,27.0,31.0
24,24,住,士林區華齡街０２２巷０１５弄００１１號５樓及頂樓增建部分#士林區華齡街２２巷１５弄１１號５樓及頂樓增建部分,公寓(5樓含以下無電梯),,80.78,A,,2016-12-05,,37.0,1,1,0,25.083669226644616,121.52030076367755,1,總價/總面積,親友關係間之交易;含頂樓增建部。親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,198364.0,住家用,35.39,房地(土地+建物),A15,7020000,5.0,5.0,1.0,5.0,2.0,3.0,"(25.083669226644616, 121.52030076367755)",10.0,13.0,10.0
25,25,住,士林區忠義街０１３０號３樓#士林區忠義街１３０號３樓,公寓(5樓含以下無電梯),,96.68,A,,2016-12-15,,40.0,1,1,0,25.108010293793477,121.532589624767,1,總價/總面積,"共有人數2人
含增建或未登記建物。含增建或未登記建物。;",502555.0,住家用,27.06,房地(土地+建物),A15,13600000,5.0,3.0,1.0,3.0,2.0,1.0,"(25.108010293793477, 121.532589624767)",10.0,16.0,26.0
26,26,住,士林區忠誠路一段０１６３號九樓#士林區忠誠路一段１６３號九樓,華廈(10層含以下有電梯),蘭雅新城,75.64,A,,2016-12-09,,24.0,1,1,0,25.107106159450584,121.53044402188767,0,總價/總面積,,750592.0,住家用,43.97,房地(土地+建物),A15,33000000,10.0,9.0,1.0,3.0,2.0,2.0,"(25.107106159450584, 121.53044402188767)",15.0,12.0,28.0
27,27,住,士林區通河街００１巷０００２號#士林區通河街１巷２號,店面（店舖),,100.0,A,,2016-12-27,,,1,1,0,25.0801906517434,121.52365649810568,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,690364.0,住家用,18.83,房地(土地+建物),A15,13000000,2.0,1.0,1.0,2.0,1.0,1.0,"(25.0801906517434, 121.52365649810568)",4.0,9.0,7.0
28,28,商,士林區社正路００３８號三樓#士林區社正路３８號三樓,華廈(10層含以下有電梯),,83.66,A,,2016-12-19,,25.0,3,1,0,25.0886797730614,121.50990260212502,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,212261.0,商業用,29.21,房地(土地+建物),A15,6200000,7.0,3.0,1.0,2.0,1.0,1.0,"(25.0886797730614, 121.50990260212502)",10.0,19.0,9.0
29,29,住,士林區德行東路２８４巷００２２號#士林區德行東路２８４巷２２號,公寓(5樓含以下無電梯),,80.75,A,,2016-12-08,,34.0,1,1,0,25.1094966260858,121.53600696283388,1,總價/總面積,,523134.0,商業用,38.8,房地(土地+建物),A15,20300000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.1094966260858, 121.53600696283388)",3.0,8.0,17.0
30,30,住,士林區社中街１５６巷０１０弄０００８號５樓#士林區社中街１５６巷１０弄８號５樓,公寓(5樓含以下無電梯),,82.1,A,,2016-12-11,,36.0,1,1,0,25.090836966136997,121.5100503367326,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,315782.0,住家用,27.17,房地(土地+建物),A15,8580000,5.0,5.0,1.0,3.0,2.0,2.0,"(25.090836966136997, 121.5100503367326)",1.0,14.0,15.0
31,31,住,士林區德行東路３３１巷０００６號二樓#士林區德行東路３３１巷６號二樓,華廈(10層含以下有電梯),天母真園一期,49.29,A,,2016-12-21,,14.0,1,1,2,25.11079862470829,121.53795607914856,0,總價/總面積,,674846.0,住家用,103.73,房地(土地+建物)+車位,A15,70000000,10.0,2.0,1.0,4.0,2.0,2.0,"(25.11079862470829, 121.53795607914856)",3.0,2.0,8.0
32,32,住,士林區中山北路六段２９０巷００７弄００３７號三樓#士林區中山北路六段２９０巷７弄３７號三樓,華廈(10層含以下有電梯),天母哲園,46.6,A,,2016-12-04,,5.0,1,1,0,25.110113133714663,121.5277302451584,1,總價/總面積,,589379.0,住家用,79.75,房地(土地+建物)+車位,A15,47000000,7.0,3.0,1.0,3.0,2.0,2.0,"(25.110113133714663, 121.5277302451584)",16.0,36.0,20.0
33,33,住,士林區福林路３２９巷００２弄００３０號#士林區福林路３２９巷２弄３０號,透天厝,,,A,,2016-12-12,,45.0,1,1,0,25.09992143694131,121.53503324885584,1,總價/總面積,,,住家用,37.13,房地(土地+建物),A15,36500000,2.0,1.0,2.0,4.0,2.0,2.0,"(25.09992143694131, 121.53503324885584)",0.0,0.0,3.0
34,34,住,士林區社中街０２２７號四樓#士林區社中街２２７號四樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-21,,42.0,1,1,0,25.091187301173747,121.50793020305366,1,總價/總面積,"親友、員工或其他特殊關係間之交易。
含增建或未登記建物。親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;",144235.0,住家用,21.49,房地(土地+建物),A15,3100000,4.0,4.0,1.0,3.0,2.0,1.0,"(25.091187301173747, 121.50793020305366)",2.0,15.0,10.0
35,35,住,士林區天玉街００５８號十樓#士林區天玉街５８號十樓,住宅大樓(11層含以上有電梯),奧之細道,46.16,A,,2016-12-09,,14.0,1,1,2,25.12144174915089,121.53068439048218,0,總價/總面積,,816628.0,住家用,154.29,房地(土地+建物)+車位,A15,126000000,19.0,10.0,1.0,6.0,2.0,4.0,"(25.12144174915089, 121.53068439048218)",10.0,25.0,20.0
36,36,住,士林區葫蘆街０３９巷００１３號#士林區葫蘆街３９巷１３號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-06,,44.0,1,1,0,25.07946338704769,121.50953729068766,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,476549.0,住家用,13.64,房地(土地+建物),A15,6500000,4.0,1.0,1.0,3.0,1.0,1.0,"(25.07946338704769, 121.50953729068766)",3.0,10.0,11.0
37,37,住,士林區通河東街一段０１９８號五樓#士林區通河東街一段１９８號五樓,公寓(5樓含以下無電梯),,93.51,A,,2016-12-12,,36.0,7,1,0,25.09003190164976,121.51572763907716,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,383676.0,住家用,27.84,房地(土地+建物),A15,10680000,5.0,5.0,1.0,2.0,2.0,1.0,"(25.09003190164976, 121.51572763907716)",0.0,12.0,20.0
38,38,住,士林區忠誠路二段００８６號十樓#士林區忠誠路二段８６號十樓,住宅大樓(11層含以上有電梯),,84.34,A,,2016-12-17,,31.0,1,1,0,25.112882361459334,121.53092506816832,0,總價/總面積,,649580.0,住家用,43.87,房地(土地+建物),A15,28500000,14.0,10.0,1.0,4.0,2.0,2.0,"(25.112882361459334, 121.53092506816832)",9.0,32.0,41.0
39,39,住,士林區德行東路０２３３號４樓之６#士林區德行東路２３３號４樓之６,華廈(10層含以下有電梯),雨聲華廈,72.17,A,,2016-12-04,,38.0,1,1,0,25.10972223593512,121.53352909115988,1,總價/總面積,"共有人數2人
含增建或未登記建物。含增建或未登記建物。;",535759.0,住家用,23.24,房地(土地+建物),A15,12450000,7.0,4.0,1.0,2.0,2.0,1.0,"(25.10972223593512, 121.53352909115988)",6.0,20.0,18.0
40,40,商,士林區小北街０２２巷００１２號２樓#士林區小北街２２巷１２號２樓,公寓(5樓含以下無電梯),,83.3,A,,2016-12-24,,32.0,2,1,0,25.091118706068286,121.525041380742,1,總價/總面積,價格含增建或未登記建物含增建或未登記建物。;,450017.0,住家用,23.0,房地(土地+建物),A15,10350000,5.0,2.0,1.0,5.0,0.0,5.0,"(25.091118706068286, 121.525041380742)",22.0,20.0,32.0
41,41,住,士林區中正路１０４巷００１弄０００２號三樓#士林區中正路１０４巷１弄２號三樓,華廈(10層含以下有電梯),,48.5,A,,2016-12-02,,18.0,1,1,1,25.096834957429344,121.52969579806587,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,148575.0,住家用,43.08,房地(土地+建物)+車位,A15,6400000,6.0,3.0,1.0,,,,"(25.096834957429344, 121.52969579806587)",6.0,11.0,23.0
42,42,住,士林區承德路四段２９２巷０１１弄０００５號三樓#士林區承德路四段２９２巷１１弄５號三樓,公寓(5樓含以下無電梯),,78.19,A,,2016-12-28,,33.0,1,1,0,25.08922354004925,121.5197095930167,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,194393.0,住家用,18.52,房地(土地+建物),A15,3600000,5.0,3.0,1.0,3.0,2.0,1.0,"(25.08922354004925, 121.5197095930167)",12.0,11.0,35.0
43,43,住,士林區中山北路六段４０５巷００２０號#士林區中山北路六段４０５巷２０號,公寓(5樓含以下無電梯),,84.37,A,,2016-12-23,,38.0,1,1,0,25.113965101913777,121.52603135466036,1,總價/總面積,,542552.0,住家用,39.63,房地(土地+建物),A15,21500000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.113965101913777, 121.52603135466036)",10.0,25.0,43.0
44,44,住,士林區延平北路六段０３５８號１２樓#士林區延平北路六段３５８號１２樓,住宅大樓(11層含以上有電梯),金河帝國,43.38,A,,2016-12-29,,,1,1,2,25.090921609302494,121.50110831803632,0,總價/總面積,,437752.0,住家用,79.04,房地(土地+建物)+車位,A15,34600000,12.0,12.0,1.0,3.0,2.0,3.0,"(25.090921609302494, 121.50110831803632)",0.0,1.0,4.0
45,45,住,士林區忠誠路二段０２１巷０４５弄０００６號４樓#士林區忠誠路二段２１巷４５弄６號４樓,公寓(5樓含以下無電梯),,92.05,A,,2016-12-15,,33.0,1,1,0,25.110247309876492,121.53312483596264,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,439818.0,住家用,43.38,房地(土地+建物),A15,19080000,5.0,4.0,1.0,4.0,2.0,2.0,"(25.110247309876492, 121.53312483596264)",5.0,23.0,28.0
46,46,住,士林區忠誠路一段０１６巷００１３號四樓#士林區忠誠路一段１６巷１３號四樓,套房(1房(1廳)1衛),,49.25,A,,2016-12-26,,18.0,1,1,1,25.10513686403671,121.52570604297122,0,總價/總面積,,671183.0,住家用,24.14,房地(土地+建物)+車位,A15,16200000,6.0,4.0,1.0,1.0,1.0,1.0,"(25.10513686403671, 121.52570604297122)",5.0,25.0,29.0
47,47,住,士林區劍潭路００７３號１２樓#士林區劍潭路７３號１２樓,住宅大樓(11層含以上有電梯),新都里,52.69,A,,2016-12-20,,10.0,1,1,1,25.083613733943128,121.52067723568568,0,總價/總面積,,691749.0,住家用,52.04,房地(土地+建物)+車位,A15,36000000,14.0,12.0,1.0,4.0,2.0,2.0,"(25.083613733943128, 121.52067723568568)",9.0,14.0,9.0
