,Unnamed: 0,usage_category,address,property_type,community_name,main_building_ratio,city,parking_space_price,transaction_date,elevator_available,building_age,number_of_land,number_of_building,number_of_parking_space,latitude,longitude,management_org_available,per_ping_calculation_method,note,price_per_ping,detailed_usage_classification,total_area_ping,property_b_l_p_type,district,total_price,total_floors,target_floor,transaction_floors,bedrooms,living_rooms,bathrooms,cor,診所_under_250_m,診所_under_500_m,診所_under_750_m
48,48,住,士林區福志路０１０８號五樓#士林區福志路１０８號五樓,公寓(5樓含以下無電梯),,90.93,A,,2016-12-27,,36.0,1,1,0,25.09869978438888,121.52827613549772,1,總價/總面積,,539455.0,住家用,27.81,房地(土地+建物),A15,15000000,5.0,5.0,1.0,3.0,2.0,2.0,"(25.09869978438888, 121.52827613549772)",5.0,19.0,17.0
49,49,住,士林區忠誠路二段００８８號１０樓#士林區忠誠路二段８８號１０樓,住宅大樓(11層含以上有電梯),,81.45,A,,2016-12-02,,31.0,1,1,0,25.112882361459334,121.53092506816832,0,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,675673.0,住家用,44.92,房地(土地+建物),A15,30350000,14.0,10.0,1.0,4.0,2.0,2.0,"(25.112882361459334, 121.53092506816832)",9.0,32.0,41.0
50,50,住,士林區中山北路五段８６０巷０００６號１１樓#士林區中山北路五段８６０巷６號１１樓,住宅大樓(11層含以上有電梯),遠宏雙橡園,41.98,A,,2016-12-16,,9.0,2,1,1,25.1023611850352,121.52685421225812,0,總價/總面積,價格含增建或未登記建物含增建或未登記建物。;,706159.0,住家用,79.02,房地(土地+建物)+車位,A15,55800000,11.0,11.0,1.0,3.0,2.0,2.0,"(25.1023611850352, 121.52685421225812)",1.0,13.0,41.0
51,51,住,士林區德行東路０１８４號#士林區德行東路１８４號,公寓(5樓含以下無電梯),,93.07,A,,2016-12-21,,40.0,1,1,0,25.10847660792752,121.53094570109276,1,總價/總面積,,457193.0,住家用,21.44,房地(土地+建物),A15,9800000,4.0,3.0,1.0,2.0,2.0,1.0,"(25.10847660792752, 121.53094570109276)",13.0,19.0,28.0
52,52,住,士林區德行東路０１８４號#士林區德行東路１８４號,公寓(5樓含以下無電梯),,93.07,A,,2016-12-21,,40.0,1,1,0,25.10847660792752,121.53094570109276,1,總價/總面積,,450195.0,住家用,21.44,房地(土地+建物),A15,9650000,4.0,4.0,1.0,2.0,2.0,1.0,"(25.10847660792752, 121.53094570109276)",13.0,19.0,28.0
53,53,住,士林區承德路四段０５８巷０２８弄０００４號#士林區承德路四段５８巷２８弄４號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-25,,46.0,1,1,0,25.082083845010875,121.5218603487,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,543107.0,住家用,26.51,房地(土地+建物),A15,14400000,4.0,1.0,1.0,3.0,2.0,2.0,"(25.082083845010875, 121.5218603487)",12.0,9.0,4.0
54,54,住,士林區社中街１５６巷００３７號３樓#士林區社中街１５６巷３７號３樓,公寓(5樓含以下無電梯),,83.85,A,,2016-12-18,,35.0,1,1,0,25.091643584168008,121.50914159360195,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,267527.0,住家用,32.89,房地(土地+建物),A15,8800000,5.0,3.0,1.0,3.0,2.0,2.0,"(25.091643584168008, 121.50914159360195)",1.0,13.0,11.0
55,55,住,士林區福德路０５７巷００３１號４樓#士林區福德路５７巷３１號４樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-18,,40.0,1,1,0,25.0921416873118,121.52168489498612,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,519005.0,住家用,26.13,房地(土地+建物),A15,13560000,4.0,4.0,1.0,5.0,0.0,3.0,"(25.0921416873118, 121.52168489498612)",5.0,39.0,28.0
56,56,商,士林區天母東路０２２巷００２１號六樓之３#士林區天母東路２２巷２１號六樓之３,華廈(10層含以下有電梯),天母華琪大廈仁座,83.63,A,,2016-12-24,,39.0,1,1,0,25.11719119833329,121.53274839925686,0,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,322621.0,住家用,13.95,房地(土地+建物),A15,4500000,10.0,6.0,1.0,3.0,2.0,2.0,"(25.11719119833329, 121.53274839925686)",14.0,15.0,38.0
57,57,商,士林區天母東路００３８之４號９樓#士林區天母東路３８之４號９樓,住宅大樓(11層含以上有電梯),,57.89,A,,2016-12-27,,30.0,1,1,1,25.117723803129675,121.53276062429602,0,總價/總面積,"內含獨立產權車位，未包含在棟數內。
本案車位面積無法概算。
含增建或未登記建物。含增建或未登記建物。;",550089.0,商業用,60.9,房地(土地+建物)+車位,A15,33500000,12.0,9.0,1.0,4.0,2.0,2.0,"(25.117723803129675, 121.53276062429602)",14.0,17.0,32.0
58,58,商,士林區天母東路０６９巷０００１號６樓#士林區天母東路６９巷１號６樓,華廈(10層含以下有電梯),龍鳳園,85.03,A,,2016-12-28,,33.0,1,1,0,25.11851251108634,121.53436054097465,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,610278.0,住家用,41.78,房地(土地+建物),A15,25500000,7.0,6.0,1.0,3.0,2.0,2.0,"(25.11851251108634, 121.53436054097465)",6.0,18.0,18.0
59,59,住,士林區中山北路六段２７７巷０１８弄００１３號２樓#士林區中山北路六段２７７巷１８弄１３號２樓,華廈(10層含以下有電梯),和楓天母,50.58,A,,2016-12-14,,14.0,1,1,3,25.11050584058106,121.52391446587872,0,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,570400.0,住家用,90.99,房地(土地+建物)+車位,A15,51900000,9.0,2.0,1.0,4.0,2.0,2.0,"(25.11050584058106, 121.52391446587872)",8.0,31.0,38.0
60,60,住,士林區社子街００８６號八樓之１#士林區社子街８６號八樓之１,套房(1房(1廳)1衛),麗池凡登,43.62,A,,2016-12-31,,8.0,2,1,0,25.086977221212656,121.50616802803484,0,總價/總面積,,391521.0,住家用,30.15,房地(土地+建物),A15,11805590,10.0,8.0,1.0,1.0,1.0,1.0,"(25.086977221212656, 121.50616802803484)",9.0,17.0,14.0
61,61,住,士林區後街０２１巷００１９號４樓之２#士林區後街２１巷１９號４樓之２,套房(1房(1廳)1衛),IF HOUSE,42.34,A,,2016-12-31,,3.0,1,1,1,25.098531825988285,121.52472601320405,0,總價/總面積,,584539.0,住家用,21.69,房地(土地+建物)+車位,A15,12680000,7.0,4.0,1.0,1.0,1.0,1.0,"(25.098531825988285, 121.52472601320405)",5.0,32.0,22.0
62,62,住,士林區中山北路六段４５０巷００２０號４樓#士林區中山北路六段４５０巷２０號４樓,公寓(5樓含以下無電梯),,82.4,A,,2016-12-25,,40.0,2,1,0,25.113389227138708,121.52803186653742,1,總價/總面積,"共有人數2人。
含增建或未登記建物。含增建或未登記建物。;",432165.0,住家用,34.71,房地(土地+建物),A15,15000000,4.0,4.0,1.0,3.0,2.0,2.0,"(25.113389227138708, 121.52803186653742)",17.0,22.0,47.0
63,63,商,士林區承德路四段０２３３號７樓#士林區承德路四段２３３號７樓,住宅大樓(11層含以上有電梯),創築,36.14,A,,2016-12-25,,7.0,1,1,1,25.08844739908259,121.52220457247222,0,總價/總面積,"共有人數2人
含增建或未登記建物。含增建或未登記建物。;",584003.0,辦公用,28.9,房地(土地+建物)+車位,A15,16880000,11.0,7.0,1.0,2.0,1.0,1.0,"(25.08844739908259, 121.52220457247222)",5.0,33.0,23.0
64,64,住,士林區至誠路二段０９２巷００９弄０００９號#士林區至誠路二段９２巷９弄９號,透天厝,,,A,,2016-12-22,,50.0,1,1,0,25.10226791825816,121.52769657305905,1,總價/總面積,,,住家用,20.59,房地(土地+建物),A15,28000000,2.0,1.0,2.0,2.0,2.0,2.0,"(25.10226791825816, 121.52769657305905)",1.0,5.0,44.0
65,65,住,士林區蘭雅里０１９鄰中山北路六段４５０巷００６弄０００３號#士林區蘭雅里１９鄰中山北路六段４５０巷６弄３號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-11,,44.0,1,1,0,25.11363421911101,121.52768586799384,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,862430.0,住家用,33.63,房地(土地+建物),A15,29000000,4.0,1.0,1.0,4.0,2.0,2.0,"(25.11363421911101, 121.52768586799384)",17.0,21.0,49.0
66,66,住,士林區德行東路０１８８號三樓#士林區德行東路１８８號三樓,公寓(5樓含以下無電梯),,92.65,A,,2016-12-30,,40.0,1,1,0,25.108503338583414,121.53104496980806,1,總價/總面積,,589005.0,住家用,20.37,房地(土地+建物),A15,12000000,4.0,3.0,1.0,2.0,2.0,1.0,"(25.108503338583414, 121.53104496980806)",13.0,20.0,27.0
67,67,住,士林區德行東路１９０巷００６弄０００２號二樓#士林區德行東路１９０巷６弄２號二樓,公寓(5樓含以下無電梯),,91.07,A,,2016-12-30,,39.0,4,1,0,25.107691445822297,121.53087290337768,1,總價/總面積,,533623.0,住家用,29.98,房地(土地+建物),A15,16000000,4.0,2.0,1.0,3.0,2.0,1.0,"(25.107691445822297, 121.53087290337768)",14.0,14.0,28.0
68,68,商,士林區福國路００９６號七樓#士林區福國路９６號七樓,華廈(10層含以下有電梯),,67.51,A,,2016-12-30,,36.0,1,1,0,25.10217889122119,121.52224303825216,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,799974.0,住家用,66.95,房地(土地+建物),A15,53560000,7.0,7.0,1.0,7.0,3.0,5.0,"(25.10217889122119, 121.52224303825216)",12.0,6.0,30.0
69,69,住,士林區社中街０２８９號３樓#士林區社中街２８９號３樓,公寓(5樓含以下無電梯),,89.82,A,,2016-12-17,,37.0,6,1,0,25.09178149859345,121.50577140341548,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,325352.0,住家用,30.43,房地(土地+建物),A15,9900000,4.0,3.0,1.0,4.0,2.0,2.0,"(25.09178149859345, 121.50577140341548)",1.0,5.0,16.0
70,70,住,士林區中山北路六段２９０巷００７弄００１１之１號二樓#士林區中山北路六段２９０巷７弄１１之１號二樓,公寓(5樓含以下無電梯),,89.51,A,,2016-12-11,,30.0,1,1,0,25.11069504162514,121.52657262888502,1,總價/總面積,,539474.0,住家用,33.37,房地(土地+建物),A15,18000000,5.0,2.0,1.0,3.0,2.0,2.0,"(25.11069504162514, 121.52657262888502)",14.0,33.0,31.0
71,71,住,士林區中山北路五段０７６１號#士林區中山北路五段７６１號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-30,,44.0,1,1,0,25.09915703527725,121.52663227970166,1,總價/總面積,,779507.0,住家用,29.51,房地(土地+建物),A15,23000000,3.0,2.0,1.0,1.0,1.0,1.0,"(25.09915703527725, 121.52663227970166)",4.0,25.0,19.0
72,72,商,士林區中正路２２３巷００６２號#士林區中正路２２３巷６２號,透天厝,,,A,,2016-12-03,,53.0,1,1,0,25.093930352710373,121.52648101872032,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,,住家用,23.25,房地(土地+建物),A15,23500000,,1.0,,3.0,2.0,2.0,"(25.093930352710373, 121.52648101872032)",15.0,40.0,9.0
73,73,住,士林區中山北路六段１７２巷０１６弄０００２之３號#士林區中山北路六段１７２巷１６弄２之３號,套房(1房(1廳)1衛),天母小貴族,65.03,A,,2016-12-30,,22.0,1,1,0,25.10715816585664,121.52598239660712,0,總價/總面積,,689246.0,住家用,7.69,房地(土地+建物),A15,5300000,5.0,1.0,1.0,1.0,0.0,1.0,"(25.10715816585664, 121.52598239660712)",11.0,21.0,46.0
74,74,商,士林區小西街００３６號２樓#士林區小西街３６號２樓,公寓(5樓含以下無電梯),,84.5,A,,2016-12-13,,33.0,2,1,0,25.08992335493577,121.52351946295738,1,總價/總面積,親友、員工或其他特殊關係間之交易。權利人5人親友、員工或其他特殊關係間之交易。;,73706.0,住家用,33.05,房地(土地+建物),A15,2436100,5.0,2.0,1.0,3.0,1.0,2.0,"(25.08992335493577, 121.52351946295738)",9.0,29.0,35.0
75,75,住,士林區天母北路０８７巷０００３號#士林區天母北路８７巷３號,公寓(5樓含以下無電梯),,87.11,A,,2016-12-14,,38.0,1,1,0,25.12242889760939,121.52728731097515,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,712922.0,住家用,32.26,房地(土地+建物),A15,23000000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.12242889760939, 121.52728731097515)",5.0,25.0,14.0
76,76,商,士林區基河路００１５號二十一樓#士林區基河路１５號二十一樓,住宅大樓(11層含以上有電梯),圓山1號院,40.53,A,1020.0,2016-12-24,,1.0,1,1,4,25.08723773472744,121.52473732588604,0,(總價-車位總價)/(總面積-車位總面積),,928807.0,住家用,141.0,房地(土地+建物)+車位,A15,105000000,21.0,21.0,1.0,,,,"(25.08723773472744, 121.52473732588604)",1.0,21.0,30.0
77,77,商,士林區基河路００１７號二十一樓#士林區基河路１７號二十一樓,住宅大樓(11層含以上有電梯),圓山1號院,46.78,A,550.0,2016-12-02,,1.0,1,1,2,25.08723773472744,121.52473732588604,0,(總價-車位總價)/(總面積-車位總面積),,759901.0,住家用,137.25,房地(土地+建物)+車位,A15,95000000,21.0,21.0,1.0,,,,"(25.08723773472744, 121.52473732588604)",1.0,21.0,30.0
78,78,住,士林區延平北路五段１３６巷０２７弄００４１號４樓#士林區延平北路五段１３６巷２７弄４１號４樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-19,,48.0,2,1,0,25.083033363425766,121.51102914982164,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,360879.0,住家用,20.39,房地(土地+建物),A15,7360000,4.0,4.0,1.0,2.0,2.0,2.0,"(25.083033363425766, 121.51102914982164)",16.0,11.0,13.0
79,79,商,士林區福華路１２８巷０００６號３樓#士林區福華路１２８巷６號３樓,公寓(5樓含以下無電梯),,85.51,A,,2016-12-28,,38.0,2,1,0,25.102835192627005,121.52301918599856,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,527127.0,住家用,28.46,房地(土地+建物),A15,15000000,5.0,3.0,1.0,3.0,2.0,2.0,"(25.102835192627005, 121.52301918599856)",14.0,8.0,26.0
80,80,住,士林區文昌路００２４號#士林區文昌路２４號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-02,,47.0,1,1,0,25.09521085147925,121.52178713864213,1,總價/總面積,,442555.0,住家用,24.29,房地(土地+建物),A15,10750000,4.0,4.0,1.0,,,,"(25.09521085147925, 121.52178713864213)",8.0,26.0,37.0
81,81,住,士林區通河東街一段００８７號#士林區通河東街一段８７號,公寓(5樓含以下無電梯),,89.04,A,,2016-12-06,,37.0,1,1,0,25.084260654081863,121.51639738991618,1,總價/總面積,,448225.0,商業用,21.64,房地(土地+建物),A15,9700000,5.0,1.0,1.0,2.0,1.0,1.0,"(25.084260654081863, 121.51639738991618)",2.0,11.0,42.0
82,82,商,士林區基河路００１５號十七樓#士林區基河路１５號十七樓,住宅大樓(11層含以上有電梯),圓山1號院,47.45,A,450.0,2016-12-02,,1.0,1,1,2,25.08723773472744,121.52473732588604,1,(總價-車位總價)/(總面積-車位總面積),,741537.0,住家用,114.54,房地(土地+建物)+車位,A15,75000000,21.0,17.0,1.0,,,,"(25.08723773472744, 121.52473732588604)",1.0,21.0,30.0
83,83,商,士林區福國路００９８號１１樓之６#士林區福國路９８號１１樓之６,住宅大樓(11層含以上有電梯),,80.81,A,,2016-12-17,,38.0,1,1,0,25.102432708593184,121.52194667076832,0,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,551957.0,住家用,36.96,房地(土地+建物),A15,20400000,14.0,11.0,1.0,3.0,2.0,2.0,"(25.102432708593184, 121.52194667076832)",15.0,3.0,32.0
84,84,住,士林區磺溪街００８２號六樓#士林區磺溪街８２號六樓,華廈(10層含以下有電梯),璞真米羅,43.43,A,,2016-12-30,,6.0,1,1,2,25.107925732498177,121.52337795997092,0,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,754902.0,住家用,12.16,房地(土地+建物)+車位,A15,9180000,10.0,6.0,1.0,2.0,2.0,3.0,"(25.107925732498177, 121.52337795997092)",8.0,31.0,32.0
85,85,住,士林區社中街２３１巷０１２弄００１３號四樓#士林區社中街２３１巷１２弄１３號四樓,公寓(5樓含以下無電梯),,80.64,A,,2016-12-31,,33.0,5,1,0,25.090927386319176,121.5073739497634,1,總價/總面積,,269993.0,住家用,30.37,房地(土地+建物),A15,8200000,5.0,4.0,1.0,3.0,2.0,2.0,"(25.090927386319176, 121.5073739497634)",2.0,15.0,10.0
86,86,住,士林區德行東路１９０巷００６弄０００２號#士林區德行東路１９０巷６弄２號,公寓(5樓含以下無電梯),,91.07,A,,2016-12-26,,39.0,4,1,0,25.107627287284306,121.53114033826192,1,總價/總面積,,633676.0,住家用,29.98,房地(土地+建物),A15,19000000,4.0,1.0,1.0,3.0,2.0,1.0,"(25.107627287284306, 121.53114033826192)",15.0,12.0,29.0
87,87,住,士林區德行東路１９０巷００６弄０００２號三樓#士林區德行東路１９０巷６弄２號三樓,公寓(5樓含以下無電梯),,91.07,A,,2016-12-21,,39.0,4,1,0,25.107691445822297,121.53087290337768,1,總價/總面積,,500271.0,住家用,29.98,房地(土地+建物),A15,15000000,4.0,3.0,1.0,3.0,2.0,1.0,"(25.107691445822297, 121.53087290337768)",14.0,14.0,28.0
88,88,住,士林區德行東路１９０巷００６弄０００３號二樓#士林區德行東路１９０巷６弄３號二樓,公寓(5樓含以下無電梯),,87.64,A,,2016-12-30,,38.0,1,1,0,25.10760837767339,121.53137822267982,1,總價/總面積,,506635.0,住家用,31.58,房地(土地+建物),A15,16000000,4.0,2.0,1.0,3.0,2.0,1.0,"(25.10760837767339, 121.53137822267982)",15.0,12.0,29.0
89,89,住,士林區德行東路１９０巷００６弄０００６號三樓#士林區德行東路１９０巷６弄６號三樓,公寓(5樓含以下無電梯),,91.07,A,,2016-12-30,,39.0,5,1,0,25.107744501659703,121.53118050571736,1,總價/總面積,,539719.0,住家用,29.64,房地(土地+建物),A15,16000000,4.0,3.0,1.0,3.0,2.0,1.0,"(25.107744501659703, 121.53118050571736)",15.0,12.0,29.0
90,90,住,士林區至誠路二段００３９號四樓#士林區至誠路二段３９號四樓,公寓(5樓含以下無電梯),,83.1,A,,2016-12-23,,34.0,1,1,0,25.10133427210741,121.52875344518404,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,592648.0,住家用,33.75,房地(土地+建物),A15,20000000,5.0,4.0,1.0,3.0,2.0,2.0,"(25.10133427210741, 121.52875344518404)",1.0,4.0,38.0
91,91,住,士林區天母東路１０５巷００３８號#士林區天母東路１０５巷３８號,公寓(5樓含以下無電梯),,90.23,A,,2016-12-06,,38.0,2,1,0,25.1208118813842,121.53512418058396,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,436744.0,住家用,43.05,房地(土地+建物),A15,18800000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.1208118813842, 121.53512418058396)",1.0,19.0,13.0
92,92,住,士林區天玉里天母西路０８３巷００１４號#士林區天玉里天母西路８３巷１４號,公寓(5樓含以下無電梯),,87.06,A,,2016-12-08,,38.0,1,3,0,25.119077718946635,121.5252500280408,1,總價/總面積,本買賣案件係屬二親等間特殊交易，其交易價格可能異於市場正常交易價格。親友、員工或其他特殊關係間之交易。;,334846.0,住家用,85.5,房地(土地+建物),A15,28630000,5.0,1.0,1.0,3.0,2.0,2.0,"(25.119077718946635, 121.5252500280408)",12.0,15.0,27.0
93,93,住,士林區中社路一段０１１巷００８９號二樓#士林區中社路一段１１巷８９號二樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-22,,41.0,1,1,0,25.10998349770424,121.56297904711217,1,總價/總面積,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,154536.0,住家用,31.38,房地(土地+建物),A15,4850000,4.0,2.0,1.0,3.0,2.0,2.0,"(25.10998349770424, 121.56297904711217)",0.0,0.0,0.0
94,94,住,士林區中正路３９９巷００１弄０００２號３樓、３９９#士林區中正路３９９巷１弄２號３樓、３９９巷３號３樓,公寓(5樓含以下無電梯),,100.0,A,,2016-12-08,,42.0,2,2,0,25.09365878744702,121.52157235854244,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,403322.0,住家用,40.91,房地(土地+建物),A15,16500000,4.0,3.0,1.0,5.0,2.0,2.0,"(25.09365878744702, 121.52157235854244)",5.0,39.0,31.0
95,95,其他,士林區菁山路０９９巷００２９號#士林區菁山路９９巷２９號,公寓(5樓含以下無電梯),,61.19,A,,2016-12-15,,22.0,2,1,0,25.14598203785791,121.5522934210285,1,總價/總面積,,474099.0,住家用,168.74,房地(土地+建物),A15,80000000,2.0,1.0,2.0,6.0,3.0,4.0,"(25.14598203785791, 121.5522934210285)",0.0,0.0,0.0
96,96,住,士林區德行東路０１８４號#士林區德行東路１８４號,公寓(5樓含以下無電梯),,93.07,A,,2016-12-30,,40.0,1,1,0,25.10847660792752,121.53094570109276,1,總價/總面積,,583154.0,住家用,21.44,房地(土地+建物),A15,12500000,4.0,2.0,1.0,2.0,2.0,1.0,"(25.10847660792752, 121.53094570109276)",13.0,19.0,28.0
97,97,住,士林區天母北路０２８巷００３９號三樓之５#士林區天母北路２８巷３９號三樓之５,華廈(10層含以下有電梯),天母小西華,36.45,A,,2016-12-23,,9.0,1,2,1,25.11925771327323,121.52540945664502,0,總價/總面積,,726509.0,住家用,15.48,房地(土地+建物)+車位,A15,11250000,9.0,3.0,1.0,1.0,1.0,1.0,"(25.11925771327323, 121.52540945664502)",13.0,15.0,29.0
98,98,住,士林區社子街０６３巷００２２號#士林區社子街６３巷２２號,公寓(5樓含以下無電梯),,100.0,A,,2016-12-28,,41.0,1,1,0,25.088221217528435,121.50671839944884,1,總價/總面積,,600916.0,商業用,26.63,房地(土地+建物),A15,16000000,4.0,1.0,1.0,,,,"(25.088221217528435, 121.50671839944884)",13.0,12.0,12.0
99,99,住,士林區福港街０１８巷００１５之２號５樓#士林區福港街１８巷１５之２號５樓,公寓(5樓含以下無電梯),,66.45,A,,2016-12-20,,32.0,1,1,0,25.09069253315644,121.51786189785864,1,總價/總面積,含增建或未登記建物。含增建或未登記建物。;,331983.0,住家用,39.16,房地(土地+建物),A15,13000000,5.0,5.0,1.0,4.0,2.0,1.0,"(25.09069253315644, 121.51786189785864)",5.0,13.0,14.0
